,beta0,beta1,beta2,beta3,tau1,tau2
2022-09-14,-0.22046473931214208,-0.12050732950024803,-2.870661144752745,2.8141048457692133,1.5402933608894316,13.989961657208658
2022-09-15,-0.3517894027258406,0.1458534099092564,-3.04922358741424,3.1300838121164998,1.362861827255905,14.732873563010115
2022-09-16,-0.2698836674962644,-0.07854108353403542,-2.7349696184389685,3.000892812388733,1.5451381626382064,14.159764806030015
2022-09-20,-0.4312876832069272,0.25779960940187907,-3.0040301218372876,3.3311420400318545,1.3578761410664908,14.600120387548634
2022-09-21,-0.3483709472435616,0.2015532192822102,-3.289165663335179,3.2516376131765594,1.4466457306430365,14.01394393186216
2022-09-22,-0.3101545364670576,0.31107468107485425,-3.31529602015964,3.244202090484837,1.4495672559921757,14.219282962263874
2022-09-23,-0.5073375113686246,0.2345995562020521,-3.1894336407848014,3.819558602338352,1.0606778730024127,15.825708924317443
2022-09-26,-0.6158474868273052,0.680800934102163,-3.4350057760956365,3.9223260975056995,0.9718764838796023,17.902114280778026
2022-09-27,-1.0495467607968034,1.0077416257199354,-3.067428709552503,5.662037244069562,0.8850258332012351,18.570420874507327
2022-09-28,-0.3824450593237556,-0.012533608078939938,-2.993605552491061,2.853699663244811,1.2093725063130025,13.57620762530298
2022-09-29,-1.044922878386129,0.9353218116278161,-1.9864591301624754,4.202106005869128,0.8526293860173881,15.055548856584473
2022-09-30,-0.9405051899308378,0.3209271721145519,-1.8321766604607166,3.819354018389277,1.3166844494070498,12.815982797132374
2022-10-03,-1.4337437385273204,0.9975283969493952,-0.8321573377804709,5.601996703890882,0.8155299989890591,14.636490642091163
2022-10-04,-1.4714784334222928,1.0240212358012648,-0.5782397461181933,5.878293130491123,0.625636698311144,15.48437423515183
2022-10-05,-1.3649328977986142,0.9521394989820228,-1.4115069577044543,6.025508676770074,0.8787451468521772,16.409316730449298
2022-10-06,-1.418039947480483,0.9406465021135151,-1.5398781254670433,6.051247299912166,1.0877371852969187,15.706306908244024
2022-10-07,-1.186914156096137,0.6037930355938195,-1.779805110181811,5.3560325385503855,1.350169290188632,15.601647438674648
2022-10-10,-0.30841727597946866,-0.2908143735078435,-2.858400582790531,3.397722199750719,2.3396507731673277,11.393591342797166
2022-10-11,-0.3757116075286702,-0.38156899880684997,-3.149356373750428,4.11482441303031,3.036192860789302,10.507347840924222
2022-10-12,-0.7188273199839921,-0.40506081325938703,-6.99389514230002,9.999999999464082,5.998924620653064,8.918625001257986
2022-10-13,-1.4362681476876884,0.9201920611582752,-1.2230416366956887,6.266557702387751,0.5424865494558959,16.677776313565573
2022-10-14,-1.4737788628487514,1.3637472460537001,-1.73383851256423,6.41826256682717,0.5005836869578281,17.771479852139333
2022-10-17,-1.400520050540182,1.213253414575298,-1.6108477426401269,6.280446218881885,0.5000000000000224,16.96461460032289
2022-10-18,-1.4742964640787912,1.2401068476454666,-1.9868460749428647,6.282435769627799,0.5947684507127287,16.704105437831885
2022-10-19,-1.228638269670291,1.1533281695770627,-2.6608315768798083,5.307600607373405,0.6339906932830416,15.13920136495708
2022-10-20,-0.9641113037572657,0.8910790950491989,-3.01781562674219,4.140193327217751,0.7411550252477648,15.353246614424345
2022-10-21,-0.6979834478952238,0.6179122138041736,-2.8595794347353056,3.4115544718774466,0.7598560582033169,14.58336807981577
2022-10-24,-0.5132948115107658,0.1661517954652516,-3.3350497188315824,2.923894049806925,0.8817021513784855,13.501060993530311
